intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
-5000, -5000, 1000, 5000, 4000, 1.137e+06, 291.414, 
-5000, -5000, 3000, 3000, 4000, 1.13167e+06, 256.078, 
-5000, -5000, 3000, 5000, 2000, 1.13452e+06, 254.346, 
-5000, -5000, 5000, 1000, 4000, 1.11755e+06, 254.735, 
-5000, -5000, 5000, 3000, 2000, 1.12276e+06, 254.128, 
-5000, -5000, 5000, 5000, 0, 1.12444e+06, 248.907, 
-5000, -3000, -1000, 5000, 4000, 1.13302e+06, 401.698, 
-5000, -3000, 1000, 3000, 4000, 1.14776e+06, 280.883, 
-5000, -3000, 1000, 5000, 2000, 1.15027e+06, 283.108, 
-5000, -3000, 3000, 1000, 4000, 1.1387e+06, 264.591, 
-5000, -3000, 3000, 3000, 2000, 1.14312e+06, 263.89, 
-5000, -3000, 3000, 5000, 0, 1.14451e+06, 260.891, 
-5000, -3000, 5000, -1000, 4000, 1.12251e+06, 263.386, 
-5000, -3000, 5000, 1000, 2000, 1.12951e+06, 259.63, 
-5000, -3000, 5000, 3000, 0, 1.13288e+06, 258.663, 
-5000, -3000, 5000, 5000, -2000, 1.13265e+06, 255.513, 
-5000, -1000, -3000, 5000, 4000, 1.11219e+06, 436.774, 
-5000, -1000, -1000, 3000, 4000, 1.14662e+06, 379.689, 
-5000, -1000, -1000, 5000, 2000, 1.14875e+06, 373.357, 
-5000, -1000, 1000, 1000, 4000, 1.15427e+06, 277.684, 
-5000, -1000, 1000, 3000, 2000, 1.15841e+06, 277.997, 
-5000, -1000, 1000, 5000, 0, 1.15933e+06, 272.056, 
-5000, -1000, 3000, -1000, 4000, 1.14194e+06, 271.464, 
-5000, -1000, 3000, 1000, 2000, 1.14866e+06, 267.698, 
-5000, -1000, 3000, 3000, 0, 1.1513e+06, 266.094, 
-5000, -1000, 3000, 5000, -2000, 1.15039e+06, 263.193, 
-5000, -1000, 5000, -3000, 4000, 1.12341e+06, 269.154, 
-5000, -1000, 5000, -1000, 2000, 1.13273e+06, 266.838, 
-5000, -1000, 5000, 1000, 0, 1.13774e+06, 265.569, 
-5000, -1000, 5000, 3000, -2000, 1.13911e+06, 260.949, 
-5000, -1000, 5000, 5000, -4000, 1.13686e+06, 257.843, 
-5000, 1000, -5000, 5000, 4000, 1.08554e+06, 417.081, 
-5000, 1000, -3000, 3000, 4000, 1.12631e+06, 444.986, 
-5000, 1000, -3000, 5000, 2000, 1.12759e+06, 443.007, 
-5000, 1000, -1000, 1000, 4000, 1.15563e+06, 349.358, 
-5000, 1000, -1000, 3000, 2000, 1.15948e+06, 347.675, 
-5000, 1000, -1000, 5000, 0, 1.15974e+06, 346.322, 
-5000, 1000, 1000, -1000, 4000, 1.15689e+06, 280.657, 
-5000, 1000, 1000, 1000, 2000, 1.16256e+06, 277.175, 
-5000, 1000, 1000, 3000, 0, 1.16501e+06, 273.059, 
-5000, 1000, 1000, 5000, -2000, 1.16368e+06, 270.558, 
-5000, 1000, 3000, -3000, 4000, 1.14177e+06, 274.105, 
-5000, 1000, 3000, -1000, 2000, 1.14997e+06, 271.399, 
-5000, 1000, 3000, 1000, 0, 1.15472e+06, 269.615, 
-5000, 1000, 3000, 3000, -2000, 1.15557e+06, 267.474, 
-5000, 1000, 3000, 5000, -4000, 1.15267e+06, 262.14, 
-5000, 1000, 5000, -3000, 2000, 1.13201e+06, 271.345, 
-5000, 1000, 5000, -1000, 0, 1.13913e+06, 268.144, 
-5000, 1000, 5000, 1000, -2000, 1.1426e+06, 263.275, 
-5000, 1000, 5000, 3000, -4000, 1.14167e+06, 262.801, 
-5000, 3000, -5000, 3000, 4000, 1.09702e+06, 416.709, 
-5000, 3000, -5000, 5000, 2000, 1.0976e+06, 413.357, 
-5000, 3000, -3000, 1000, 4000, 1.13743e+06, 442.737, 
-5000, 3000, -3000, 3000, 2000, 1.1402e+06, 441.828, 
-5000, 3000, -3000, 5000, 0, 1.1398e+06, 438.743, 
-5000, 3000, -1000, -1000, 4000, 1.15987e+06, 321.717, 
-5000, 3000, -1000, 1000, 2000, 1.16539e+06, 318.002, 
-5000, 3000, -1000, 3000, 0, 1.16729e+06, 319.177, 
-5000, 3000, -1000, 5000, -2000, 1.16557e+06, 315.603, 
-5000, 3000, 1000, -3000, 4000, 1.15563e+06, 282.396, 
-5000, 3000, 1000, -1000, 2000, 1.1634e+06, 277.26, 
-5000, 3000, 1000, 1000, 0, 1.16747e+06, 274.181, 
-5000, 3000, 1000, 3000, -2000, 1.16763e+06, 272.624, 
-5000, 3000, 1000, 5000, -4000, 1.16427e+06, 269.599, 
-5000, 3000, 3000, -3000, 2000, 1.14832e+06, 272.843, 
-5000, 3000, 3000, -1000, 0, 1.15481e+06, 273.613, 
-5000, 3000, 3000, 1000, -2000, 1.15762e+06, 268.439, 
-5000, 3000, 3000, 3000, -4000, 1.15631e+06, 266.473, 
-5000, 3000, 5000, -3000, 0, 1.13724e+06, 270.272, 
-5000, 3000, 5000, -1000, -2000, 1.14238e+06, 266.886, 
-5000, 3000, 5000, 1000, -4000, 1.14367e+06, 264.449, 
-5000, 5000, -5000, 1000, 4000, 1.10512e+06, 422.353, 
-5000, 5000, -5000, 3000, 2000, 1.1075e+06, 423.156, 
-5000, 5000, -5000, 5000, 0, 1.10673e+06, 417.265, 
-5000, 5000, -3000, -1000, 4000, 1.14484e+06, 428.733, 
-5000, 5000, -3000, 1000, 2000, 1.14945e+06, 429.321, 
-5000, 5000, -3000, 3000, 0, 1.15101e+06, 426.181, 
-5000, 5000, -3000, 5000, -2000, 1.14875e+06, 422.772, 
-5000, 5000, -1000, -3000, 4000, 1.15947e+06, 304.74, 
-5000, 5000, -1000, -1000, 2000, 1.16678e+06, 303.31, 
-5000, 5000, -1000, 1000, 0, 1.17075e+06, 298.143, 
-5000, 5000, -1000, 3000, -2000, 1.17051e+06, 297.046, 
-5000, 5000, -1000, 5000, -4000, 1.16695e+06, 289.282, 
-5000, 5000, 1000, -3000, 2000, 1.1605e+06, 275.524, 
-5000, 5000, 1000, -1000, 0, 1.16659e+06, 273.46, 
-5000, 5000, 1000, 1000, -2000, 1.16877e+06, 272.767, 
-5000, 5000, 1000, 3000, -4000, 1.16709e+06, 269.256, 
-5000, 5000, 3000, -3000, 0, 1.15164e+06, 271.175, 
-5000, 5000, 3000, -1000, -2000, 1.1563e+06, 268.862, 
-5000, 5000, 3000, 1000, -4000, 1.15696e+06, 266.842, 
-5000, 5000, 5000, -3000, -2000, 1.13936e+06, 268.796, 
-5000, 5000, 5000, -1000, -4000, 1.14231e+06, 265.393, 
-3000, -5000, -1000, 5000, 4000, 1.11763e+06, 410.071, 
-3000, -5000, 1000, 3000, 4000, 1.13777e+06, 289.717, 
-3000, -5000, 1000, 5000, 2000, 1.14043e+06, 289.151, 
-3000, -5000, 3000, 1000, 4000, 1.13022e+06, 255.691, 
-3000, -5000, 3000, 3000, 2000, 1.13505e+06, 254.432, 
-3000, -5000, 3000, 5000, 0, 1.13652e+06, 252.077, 
-3000, -5000, 5000, -1000, 4000, 1.11374e+06, 254.856, 
-3000, -5000, 5000, 1000, 2000, 1.12098e+06, 250.296, 
-3000, -5000, 5000, 3000, 0, 1.12475e+06, 246.726, 
-3000, -5000, 5000, 5000, -2000, 1.12469e+06, 245.205, 
-3000, -3000, -3000, 5000, 4000, 1.09879e+06, 422.12, 
-3000, -3000, -1000, 3000, 4000, 1.13456e+06, 399.942, 
-3000, -3000, -1000, 5000, 2000, 1.1361e+06, 399.49, 
-3000, -3000, 1000, 1000, 4000, 1.14705e+06, 280.614, 
-3000, -3000, 1000, 3000, 2000, 1.15148e+06, 278.362, 
-3000, -3000, 1000, 5000, 0, 1.15233e+06, 277.068, 
-3000, -3000, 3000, -1000, 4000, 1.13523e+06, 261.283, 
-3000, -3000, 3000, 1000, 2000, 1.14198e+06, 260.008, 
-3000, -3000, 3000, 3000, 0, 1.14527e+06, 260.028, 
-3000, -3000, 3000, 5000, -2000, 1.14435e+06, 255.179, 
-3000, -3000, 5000, -3000, 4000, 1.11653e+06, 261.819, 
-3000, -3000, 5000, -1000, 2000, 1.12581e+06, 260.132, 
-3000, -3000, 5000, 1000, 0, 1.13139e+06, 257.501, 
-3000, -3000, 5000, 3000, -2000, 1.13294e+06, 255.553, 
-3000, -3000, 5000, 5000, -4000, 1.13077e+06, 251.926, 
-3000, -1000, -5000, 5000, 4000, 1.07556e+06, 411.162, 
-3000, -1000, -3000, 3000, 4000, 1.1144e+06, 438.827, 
-3000, -1000, -3000, 5000, 2000, 1.11605e+06, 437.833, 
