Shadowbonobo Reforge Plot Results:
intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
-2000, -2000, 0, 2000, 2000, 1.10252e+06, 281.016, 
-2000, -2000, 1000, 1000, 2000, 1.10078e+06, 244.459, 
-2000, -2000, 1000, 2000, 1000, 1.10311e+06, 245.746, 
-2000, -2000, 2000, 0, 2000, 1.09589e+06, 238.092, 
-2000, -2000, 2000, 1000, 1000, 1.09874e+06, 237.033, 
-2000, -2000, 2000, 2000, 0, 1.10035e+06, 237.281, 
-2000, -1000, -1000, 2000, 2000, 1.10061e+06, 342.194, 
-2000, -1000, 0, 1000, 2000, 1.10473e+06, 271.592, 
-2000, -1000, 0, 2000, 1000, 1.10633e+06, 271.879, 
-2000, -1000, 1000, 0, 2000, 1.10176e+06, 245.132, 
-2000, -1000, 1000, 1000, 1000, 1.10419e+06, 243.474, 
-2000, -1000, 1000, 2000, 0, 1.10593e+06, 243.282, 
-2000, -1000, 2000, -1000, 2000, 1.09602e+06, 239.005, 
-2000, -1000, 2000, 0, 1000, 1.09916e+06, 236.541, 
-2000, -1000, 2000, 1000, 0, 1.10141e+06, 238.45, 
-2000, -1000, 2000, 2000, -1000, 1.10224e+06, 235.993, 
-2000, 0, -2000, 2000, 2000, 1.0937e+06, 395.468, 
-2000, 0, -1000, 1000, 2000, 1.10358e+06, 320.77, 
-2000, 0, -1000, 2000, 1000, 1.10534e+06, 325.144, 
-2000, 0, 0, 0, 2000, 1.10537e+06, 263.568, 
-2000, 0, 0, 1000, 1000, 1.10802e+06, 261.258, 
-2000, 0, 0, 2000, 0, 1.10924e+06, 261.289, 
-2000, 0, 1000, -1000, 2000, 1.10126e+06, 243.219, 
-2000, 0, 1000, 0, 1000, 1.10423e+06, 242.798, 
-2000, 0, 1000, 1000, 0, 1.10645e+06, 242.655, 
-2000, 0, 1000, 2000, -1000, 1.10744e+06, 242.518, 
-2000, 0, 2000, -2000, 2000, 1.09487e+06, 238.271, 
-2000, 0, 2000, -1000, 1000, 1.09861e+06, 239.156, 
-2000, 0, 2000, 0, 0, 1.10116e+06, 238.296, 
-2000, 0, 2000, 1000, -1000, 1.10252e+06, 237.222, 
-2000, 0, 2000, 2000, -2000, 1.10334e+06, 237.287, 
-2000, 1000, -2000, 1000, 2000, 1.09766e+06, 382.266, 
-2000, 1000, -2000, 2000, 1000, 1.09957e+06, 380.026, 
-2000, 1000, -1000, 0, 2000, 1.10502e+06, 309.633, 
-2000, 1000, -1000, 1000, 1000, 1.10775e+06, 305.888, 
-2000, 1000, -1000, 2000, 0, 1.10917e+06, 306.32, 
-2000, 1000, 0, -1000, 2000, 1.10555e+06, 255.713, 
-2000, 1000, 0, 0, 1000, 1.1083e+06, 256.354, 
-2000, 1000, 0, 1000, 0, 1.11023e+06, 255.642, 
-2000, 1000, 0, 2000, -1000, 1.11128e+06, 253.135, 
-2000, 1000, 1000, -2000, 2000, 1.10018e+06, 240.678, 
-2000, 1000, 1000, -1000, 1000, 1.10357e+06, 240.538, 
-2000, 1000, 1000, 0, 0, 1.10626e+06, 242.528, 
-2000, 1000, 1000, 1000, -1000, 1.10765e+06, 242.585, 
-2000, 1000, 1000, 2000, -2000, 1.10805e+06, 243.894, 
-2000, 1000, 2000, -2000, 1000, 1.09688e+06, 239.495, 
-2000, 1000, 2000, -1000, 0, 1.10026e+06, 238.465, 
-2000, 1000, 2000, 0, -1000, 1.10235e+06, 236.788, 
-2000, 1000, 2000, 1000, -2000, 1.10337e+06, 237.822, 
-2000, 2000, -2000, 0, 2000, 1.10017e+06, 365.419, 
-2000, 2000, -2000, 1000, 1000, 1.10223e+06, 364.893, 
-2000, 2000, -2000, 2000, 0, 1.10356e+06, 364.13, 
-2000, 2000, -1000, -1000, 2000, 1.1058e+06, 291.076, 
-2000, 2000, -1000, 0, 1000, 1.10859e+06, 290.491, 
-2000, 2000, -1000, 1000, 0, 1.11023e+06, 292.409, 
-2000, 2000, -1000, 2000, -1000, 1.11089e+06, 293.085, 
-2000, 2000, 0, -2000, 2000, 1.10432e+06, 252.38, 
-2000, 2000, 0, -1000, 1000, 1.10773e+06, 252.691, 
-2000, 2000, 0, 0, 0, 1.11021e+06, 251.035, 
-2000, 2000, 0, 1000, -1000, 1.11153e+06, 252.279, 
-2000, 2000, 0, 2000, -2000, 1.11169e+06, 252.029, 
-2000, 2000, 1000, -2000, 1000, 1.10219e+06, 241.679, 
-2000, 2000, 1000, -1000, 0, 1.10505e+06, 240.305, 
-2000, 2000, 1000, 0, -1000, 1.10708e+06, 240.126, 
-2000, 2000, 1000, 1000, -2000, 1.10783e+06, 239.15, 
-2000, 2000, 2000, -2000, 0, 1.09857e+06, 237.696, 
-2000, 2000, 2000, -1000, -1000, 1.10104e+06, 234.06, 
-2000, 2000, 2000, 0, -2000, 1.10267e+06, 236.651, 
-1000, -2000, -1000, 2000, 2000, 1.09495e+06, 354.641, 
-1000, -2000, 0, 1000, 2000, 1.10072e+06, 281.106, 
-1000, -2000, 0, 2000, 1000, 1.10294e+06, 279.33, 
-1000, -2000, 1000, 0, 2000, 1.09821e+06, 246.162, 
-1000, -2000, 1000, 1000, 1000, 1.10097e+06, 245.706, 
-1000, -2000, 1000, 2000, 0, 1.10259e+06, 244.268, 
-1000, -2000, 2000, -1000, 2000, 1.09275e+06, 237.878, 
-1000, -2000, 2000, 0, 1000, 1.09591e+06, 236.794, 
-1000, -2000, 2000, 1000, 0, 1.09817e+06, 236.673, 
-1000, -2000, 2000, 2000, -1000, 1.09933e+06, 235.551, 
-1000, -1000, -2000, 2000, 2000, 1.08818e+06, 401.958, 
-1000, -1000, -1000, 1000, 2000, 1.09896e+06, 338.078, 
-1000, -1000, -1000, 2000, 1000, 1.10076e+06, 339.146, 
-1000, -1000, 0, 0, 2000, 1.10237e+06, 270.792, 
-1000, -1000, 0, 1000, 1000, 1.10465e+06, 269.254, 
-1000, -1000, 0, 2000, 0, 1.10619e+06, 268.877, 
-1000, -1000, 1000, -1000, 2000, 1.09878e+06, 242.905, 
-1000, -1000, 1000, 0, 1000, 1.10199e+06, 244.093, 
