Shadowbonobo Reforge Plot Results:
crit_rating, haste_rating, mastery_rating,  DPS, DPS-Error
-3000, 230, 2770, 928020, 258.197, 
-3000, 553, 2447, 929605, 255.578, 
-3000, 876, 2124, 930995, 256.537, 
-3000, 1199, 1801, 931856, 258.549, 
-3000, 1522, 1478, 933386, 261.113, 
-3000, 1845, 1155, 934589, 265.332, 
-3000, 2168, 832, 936548, 265.747, 
-3000, 2491, 509, 937747, 270.5, 
-3000, 2814, 186, 938844, 274.328, 
-2677, -93, 2770, 926004, 257.747, 
-2677, 230, 2447, 928051, 258.139, 
-2677, 553, 2124, 930349, 255.804, 
-2677, 876, 1801, 931690, 255.947, 
-2677, 1199, 1478, 932417, 259.652, 
-2677, 1522, 1155, 933710, 263.306, 
-2677, 1845, 832, 934892, 262.785, 
-2677, 2168, 509, 936871, 267.405, 
-2677, 2491, 186, 938021, 269.619, 
-2677, 2814, -137, 938743, 275.303, 
-2354, -416, 2770, 924657, 256.809, 
-2354, -93, 2447, 926516, 258.76, 
-2354, 230, 2124, 928496, 257.171, 
-2354, 553, 1801, 930388, 256.37, 
-2354, 876, 1478, 931797, 257.515, 
-2354, 1199, 1155, 932525, 259.058, 
-2354, 1522, 832, 933812, 264.671, 
-2354, 1845, 509, 935186, 265.667, 
-2354, 2168, 186, 936901, 268.508, 
-2354, 2491, -137, 937910, 271.142, 
-2354, 2814, -460, 938997, 276.243, 
-2031, -739, 2770, 923735, 258.066, 
-2031, -416, 2447, 924899, 257.778, 
-2031, -93, 2124, 926812, 258.311, 
-2031, 230, 1801, 928789, 258.147, 
-2031, 553, 1478, 931004, 260.044, 
-2031, 876, 1155, 931843, 257.276, 
-2031, 1199, 832, 932913, 260.354, 
-2031, 1522, 509, 934155, 264.964, 
-2031, 1845, 186, 935515, 268.313, 
-2031, 2168, -137, 937045, 268.579, 
-2031, 2491, -460, 938187, 272.401, 
-2031, 2814, -783, 939165, 274.883, 
-1708, -1062, 2770, 922386, 259.171, 
-1708, -739, 2447, 924287, 256.928, 
-1708, -416, 2124, 925404, 257.715, 
-1708, -93, 1801, 927285, 259.666, 
-1708, 230, 1478, 929252, 257.094, 
-1708, 553, 1155, 931320, 255.388, 
-1708, 876, 832, 932447, 260.239, 
-1708, 1199, 509, 932810, 259.447, 
-1708, 1522, 186, 934143, 264.613, 
-1708, 1845, -137, 935449, 267.105, 
-1708, 2168, -460, 936956, 268.698, 
-1708, 2491, -783, 938133, 273.53, 
-1708, 2814, -1106, 938882, 275.113, 
-1385, -1385, 2770, 921204, 260.148, 
-1385, -1062, 2447, 922730, 258.54, 
-1385, -739, 2124, 924157, 258.095, 
-1385, -416, 1801, 925793, 259.787, 
-1385, -93, 1478, 927397, 261.603, 
-1385, 230, 1155, 929244, 258.75, 
-1385, 553, 832, 931504, 257.929, 
-1385, 876, 509, 932445, 258.449, 
-1385, 1199, 186, 933143, 260.986, 
-1385, 1522, -137, 934133, 266.672, 
-1385, 1845, -460, 935349, 265.354, 
-1385, 2168, -783, 937001, 269.825, 
-1385, 2491, -1106, 938065, 272.416, 
-1385, 2814, -1429, 938594, 275.403, 
-1062, -1708, 2770, 919071, 261.819, 
-1062, -1385, 2447, 921317, 260.326, 
-1062, -1062, 2124, 922971, 258.886, 
-1062, -739, 1801, 924498, 259.895, 
-1062, -416, 1478, 925847, 263.163, 
-1062, -93, 1155, 927288, 259.76, 
-1062, 230, 832, 929338, 261.216, 
-1062, 553, 509, 931527, 260.811, 
-1062, 876, 186, 932390, 261.912, 
-1062, 1199, -137, 933136, 262, 
-1062, 1522, -460, 933751, 261.648, 
-1062, 1845, -783, 935324, 267.942, 
-1062, 2168, -1106, 936783, 270.564, 
-1062, 2491, -1429, 937903, 274.656, 
-1062, 2814, -1752, 938415, 276.135, 
-739, -2031, 2770, 916631, 266.847, 
-739, -1708, 2447, 919121, 263.387, 
-739, -1385, 2124, 921653, 260.549, 
-739, -1062, 1801, 923046, 261.158, 
-739, -739, 1478, 924728, 260.442, 
-739, -416, 1155, 925967, 262.165, 
-739, -93, 832, 927330, 260.94, 
-739, 230, 509, 929527, 260.204, 
-739, 553, 186, 931254, 260.045, 
-739, 876, -137, 932376, 259.948, 
-739, 1199, -460, 933023, 264.088, 
-739, 1522, -783, 934229, 266.02, 
-739, 1845, -1106, 935100, 271.472, 
-739, 2168, -1429, 936723, 269.667, 
-739, 2491, -1752, 937451, 273.87, 
-739, 2814, -2075, 937974, 278.497, 
-416, -2354, 2770, 914220, 266.91, 
-416, -2031, 2447, 916735, 266.994, 
-416, -1708, 2124, 919198, 263.473, 
-416, -1385, 1801, 921555, 263.601, 
-416, -1062, 1478, 923225, 260.823, 
-416, -739, 1155, 924726, 262.161, 
-416, -416, 832, 925990, 259.837, 
-416, -93, 509, 927388, 260.677, 
-416, 230, 186, 929526, 260.589, 
-416, 553, -137, 931525, 261.665, 
-416, 876, -460, 932210, 259.835, 
-416, 1199, -783, 932721, 264.612, 
-416, 1522, -1106, 933652, 265.093, 
-416, 1845, -1429, 934829, 268.696, 
-416, 2168, -1752, 936004, 270.819, 
-416, 2491, -2075, 936989, 274.821, 
-416, 2814, -2398, 937482, 274.714, 
-93, -2677, 2770, 911184, 268.677, 
-93, -2354, 2447, 914447, 267.65, 
-93, -2031, 2124, 917005, 266.109, 
-93, -1708, 1801, 919410, 263.669, 
-93, -1385, 1478, 921673, 264.572, 
-93, -1062, 1155, 923282, 262.491, 
-93, -739, 832, 924632, 263.011, 
-93, -416, 509, 925902, 262.56, 
-93, -93, 186, 927475, 261.836, 
-93, 230, -137, 929422, 264.53, 
-93, 553, -460, 931117, 260.794, 
-93, 876, -783, 931982, 261.135, 
-93, 1199, -1106, 932665, 264.034, 
-93, 1522, -1429, 933429, 266.862, 
-93, 1845, -1752, 934242, 268.582, 
-93, 2168, -2075, 935649, 271.559, 
-93, 2491, -2398, 936521, 274.554, 
-93, 2814, -2721, 936989, 279.127, 
230, -3000, 2770, 908303, 269.867, 
230, -2677, 2447, 911014, 269.973, 
230, -2354, 2124, 914542, 268.595, 
230, -2031, 1801, 916991, 268.081, 
230, -1708, 1478, 919446, 264.029, 
230, -1385, 1155, 921457, 264.732, 
230, -1062, 832, 923321, 263.517, 
230, -739, 509, 924630, 260.538, 
230, -416, 186, 925749, 261.494, 
230, -93, -137, 927302, 260.706, 
230, 230, -460, 928996, 262.689, 
230, 553, -783, 930873, 258.845, 
230, 876, -1106, 931731, 262.007, 
230, 1199, -1429, 932120, 264.05, 
230, 1522, -1752, 932857, 267.499, 
230, 1845, -2075, 933895, 268.2, 
230, 2168, -2398, 935328, 270.26, 
230, 2491, -2721, 935730, 274.352, 
553, -3000, 2447, 908356, 272.707, 
553, -2677, 2124, 911363, 271.147, 
553, -2354, 1801, 914372, 269.816, 
553, -2031, 1478, 917112, 265.81, 
553, -1708, 1155, 919418, 266.089, 
553, -1385, 832, 921625, 263.397, 
553, -1062, 509, 923293, 262.031, 
553, -739, 186, 924479, 262.964, 
553, -416, -137, 925497, 260.265, 
553, -93, -460, 926968, 265.507, 
553, 230, -783, 928873, 260.848, 
553, 553, -1106, 930517, 262.162, 
553, 876, -1429, 931285, 259.73, 
553, 1199, -1752, 931696, 263.069, 
553, 1522, -2075, 932606, 267.67, 
553, 1845, -2398, 933443, 268.818, 
553, 2168, -2721, 934681, 272.075, 
876, -3000, 2124, 908190, 270.398, 
876, -2677, 1801, 911240, 271.426, 
876, -2354, 1478, 914558, 269.231, 
876, -2031, 1155, 916897, 267.732, 
876, -1708, 832, 919161, 264.792, 
876, -1385, 509, 921377, 263.123, 
876, -1062, 186, 922882, 263.16, 
876, -739, -137, 924151, 261.553, 
876, -416, -460, 925463, 265.21, 
876, -93, -783, 926574, 261.337, 
876, 230, -1106, 928544, 262.399, 
876, 553, -1429, 929974, 261.215, 
